,군집1,군집2,군집3,군집4,군집5
skincare,2322.0,7084.0,0.0,16301.0,0.0
cleansing,2245.0,0.0,658.0,0.0,4088.0
bodycare,24.0,0.0,1850.0,4524.0,446.0
maskpack,0.0,1679.0,75.0,128.0,489.0
suncare,0.0,0.0,0.0,2995.0,0.0
