product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000012312,bodycare,4.8,4,4,8,0,61,0,0,2,3,0,0,0,0,0,24,0,0,0,5,2,0,0,0,0,38,9,0,100
A000000012315,bodycare,4.6,4,2,1,0,40,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,20,2,0,100
A000000012473,skincare,4.6,4,1,14,0,8,0,0,1,12,0,0,0.4,0.54,0.07,19,0,0,0,2,0,0,0,0,0,3,5,0,97
A000000012621,skincare,4.7,4,3,27,0,24,0,0,2,8,0,0,0.62,0.35,0.03,10,0,0,0,5,0,0,0,0,0,26,10,0,99
A000000012755,skincare,4.7,4,9,14,0,38,0,0,1,12,0,0,0.7,0.28,0.02,12,0,0,0,5,38,0,0,0,0,23,21,0,100
A000000012809,skincare,4.8,4,13,28,0,36,0,0,12,26,0,0,0.52,0.44,0.04,21,0,0,0,17,62,0,0,0,0,37,25,0,97
A000000012863,cleansing,4.6,5,8,0,19,0,0,0,0,39,0,0,0.44,0.49,0.07,0,0,7,0,2,22,29,0,0,0,7,0,0,100
A000000012880,skincare,4.7,4,9,21,0,38,0,0,2,19,0,0,0.6,0.36,0.04,17,0,0,0,18,51,0,0,0,0,31,24,0,100
A000000012881,skincare,4.8,4,15,24,0,49,0,0,7,18,0,0,0.59,0.38,0.03,16,0,0,0,13,59,0,0,0,0,49,18,0,96
A000000013004,cleansing,4.7,5,17,0,13,0,0,0,0,28,0,0,0.14,0.6,0.26,0,0,17,0,19,7,29,0,0,0,7,0,15,100
A000000013141,bodycare,4.6,3,12,0,11,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,21,1,8,4,8,0,0,89
A000000013194,cleansing,4.8,1,29,2,37,4,23,17,8,59,42,52,0.23,0.64,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,98
A000000013225,bodycare,4.7,4,1,1,0,42,0,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,32,1,0,100
A000000013632,skincare,4.7,1,2,20,0,12,4,3,12,18,6,16,0.34,0.52,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000013882,cleansing,4.8,1,8,15,28,2,14,24,1,42,21,29,0.51,0.43,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000013883,cleansing,4.8,1,8,9,22,1,13,15,2,32,16,24,0.45,0.48,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000014183,skincare,4.7,4,6,15,0,39,0,0,3,8,0,0,0.67,0.31,0.02,11,0,0,0,13,4,0,0,0,0,35,8,0,97
A000000014290,bodycare,4.7,3,3,0,9,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,4,0,0,99
A000000014357,skincare,4.6,1,8,17,0,11,4,7,22,19,7,11,0.34,0.55,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000014358,skincare,4.7,1,15,28,0,17,4,7,30,20,14,23,0.33,0.54,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,99
A000000014359,cleansing,4.6,5,16,0,27,0,0,0,0,42,0,0,0.39,0.54,0.07,0,0,3,3,7,2,4,0,0,0,10,0,2,99
A000000014360,cleansing,4.7,1,5,5,25,1,8,7,2,33,16,24,0.34,0.55,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000014686,skincare,4.6,1,11,22,0,7,11,4,5,12,10,25,0.08,0.42,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000014948,skincare,4.7,1,9,2,1,10,0,3,14,21,1,11,0.22,0.63,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000015026,cleansing,4.8,1,10,11,35,5,17,11,3,48,27,36,0.28,0.6,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000015302,bodycare,4.8,4,4,2,0,23,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,1,0,56
A000000015389,skincare,4.7,4,8,24,0,19,0,0,6,17,0,0,0.25,0.63,0.13,12,0,0,0,8,0,0,0,0,0,18,10,0,100
A000000015651,bodycare,4.7,5,3,0,19,0,0,0,0,18,0,0,0,0,0,0,0,2,2,1,8,19,0,0,0,20,0,0,99
A000000015771,cleansing,4.7,5,7,0,29,0,0,0,0,38,0,0,0.4,0.53,0.07,0,0,6,0,9,2,26,0,0,0,11,0,10,98
A000000015920,bodycare,4.6,3,5,0,24,18,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,35,6,5,4,35,0,0,99
A000000016430,bodycare,4.6,4,1,2,0,36,0,0,4,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,27,3,0,99
A000000016432,bodycare,4.5,4,3,3,0,45,0,0,1,2,0,0,0,0,0,7,0,0,0,2,1,0,0,0,0,35,5,0,100
A000000016651,cleansing,4.7,1,10,3,19,1,12,8,2,34,24,19,0.29,0.58,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,97
A000000016686,skincare,4.7,4,14,25,0,59,0,0,4,19,0,0,0.5,0.45,0.05,25,0,0,0,23,7,0,0,0,0,47,27,0,100
A000000016694,skincare,4.7,1,3,15,0,10,4,6,12,13,4,8,0.38,0.51,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,99
A000000016697,skincare,4.8,1,2,17,0,17,3,1,23,16,11,17,0.35,0.54,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,92
A000000016698,skincare,4.7,1,7,27,0,12,1,10,21,19,8,11,0.35,0.53,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,99
A000000016704,cleansing,4.7,5,9,0,15,0,0,0,0,32,0,0,0.35,0.59,0.06,0,0,5,0,5,1,22,0,0,0,7,0,2,97
A000000016808,skincare,4.7,4,7,9,0,13,0,0,1,6,0,0,0.56,0.44,0.02,9,0,0,0,8,0,0,0,0,0,13,10,0,99
