,product_id,카테고리,평점,속성_num,흡수,트러블,진정,지성,저자극,유분,수분,보습,건조,피지,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요
86,A000000117808,스킨케어,4.8,4,40,14,3,11,17,10,48,24,47,1,0.39,0.53,0.08
87,A000000171710,스킨케어,4.8,4,56,18,16,18,30,23,61,34,50,0,0.55,0.37,0.08
88,A000000005336,스킨케어,4.8,4,30,12,6,6,11,7,57,19,44,2,0.40,0.49,0.11
89,A000000160724,스킨케어,4.8,4,28,10,24,9,17,12,11,23,16,0,,,
90,A000000126471,스킨케어,4.8,4,4,12,16,5,16,10,18,14,17,0,0.27,0.63,0.10
91,A000000137786,바디케어,4.5,4,9,0,3,0,3,2,4,38,19,0,,,
92,A000000163374,선케어,4.5,4,8,6,1,17,12,25,13,0,12,2,0.30,0.57,0.13
93,A000000171829,스킨케어,4.7,4,26,10,17,6,16,17,18,60,49,5,0.74,0.23,0.03
94,A000000146011,스킨케어,4.7,4,0,1,3,3,3,1,4,4,4,0,0.19,0.77,0.05
95,A000000139348,스킨케어,4.8,4,3,14,9,3,25,4,16,24,17,1,0.45,0.51,0.04
96,A000000175452,선케어,4.7,4,16,17,1,11,27,14,8,1,19,0,0.23,0.65,0.12
97,A000000156510,스킨케어,4.8,4,41,17,59,6,34,11,52,27,22,0,0.31,0.59,0.10
98,A000000164409,선케어,4.6,4,4,3,0,4,10,5,5,1,4,24,0.49,0.45,0.06
99,A000000164628,스킨케어,4.8,4,20,11,13,10,19,13,34,37,24,2,0.54,0.43,0.03
100,A000000145287,스킨케어,4.6,4,25,9,4,4,42,10,8,7,9,1,0.35,0.57,0.08
101,A000000159370,바디케어,4.8,4,13,2,1,2,3,1,3,42,31,0,,,
102,A000000012315,바디케어,4.6,4,3,2,0,1,1,2,1,40,20,0,,,
103,A000000168890,선케어,4.7,4,5,5,2,8,11,11,5,2,9,45,0.35,0.56,0.09
104,A000000015302,바디케어,4.8,4,7,4,1,0,1,1,2,23,12,0,,,
105,A000000161804,스킨케어,4.6,4,1,6,12,6,8,6,5,11,9,1,0.29,0.57,0.14
106,A000000163734,스킨케어,4.9,4,11,10,9,3,24,6,26,55,27,0,0.28,0.64,0.08
107,A000000170269,선케어,4.5,4,7,3,3,8,22,7,6,2,10,0,0.26,0.59,0.15
108,A000000174016,스킨케어,4.8,4,30,30,44,16,14,23,26,42,31,5,0.55,0.43,0.03
109,A000000161313,스킨케어,4.7,4,50,23,12,9,22,4,29,26,30,2,0.27,0.65,0.08
110,A000000170691,스킨케어,4.4,4,6,1,1,1,6,0,4,2,1,1,0.35,0.62,0.03
111,A000000141662,스킨케어,4.8,4,7,5,4,8,6,7,5,32,25,1,0.83,0.17,0.00
112,A000000156315,스킨케어,4.8,4,33,16,8,7,11,9,58,22,42,3,0.39,0.50,0.11
113,A000000137307,선케어,4.3,4,7,11,4,6,13,9,3,0,8,1,0.48,0.45,0.07
114,A000000112410,마스크팩,4.4,4,2,0,2,2,2,2,5,2,1,0,0.38,0.54,0.08
115,A000000166038,바디케어,4.7,4,27,0,0,1,0,2,1,54,13,0,,,
116,A000000117820,스킨케어,4.7,4,10,2,2,1,6,2,12,8,7,0,0.46,0.47,0.08
117,A000000169070,스킨케어,4.8,4,56,18,16,18,30,23,61,34,50,0,0.38,0.54,0.08
118,A000000174306,바디케어,4.7,4,2,0,2,2,3,0,3,47,20,0,,,
119,A000000161883,스킨케어,4.8,4,11,25,22,6,21,7,12,30,21,2,0.50,0.44,0.06
120,A000000173728,바디케어,5,4,36,3,2,1,9,14,6,59,40,0,,,
121,A000000173335,바디케어,4.8,4,29,12,15,3,4,10,17,63,46,55,,,
122,A000000152786,스킨케어,4.8,4,13,5,3,3,5,5,12,7,8,0,0.28,0.63,0.09
123,A000000129774,스킨케어,4.7,4,28,22,32,13,27,43,33,61,38,62,0.50,0.45,0.05
124,A000000163742,스킨케어,4.9,4,22,8,7,3,23,6,30,63,43,1,0.38,0.56,0.06
125,A000000164410,선케어,4.8,4,17,13,4,14,16,11,39,1,11,1,0.42,0.48,0.10
126,A000000117807,스킨케어,4.5,4,10,5,2,7,13,10,32,28,18,0,0.48,0.45,0.07
127,A000000157285,스킨케어,4.7,4,35,6,1,1,14,13,7,14,15,0,0.41,0.56,0.03
128,A000000161167,바디케어,4.8,4,40,4,1,8,10,8,13,75,47,2,,,
129,A000000141172,선케어,4.4,4,6,5,0,17,9,5,1,1,3,0,0.16,0.40,0.44
130,A000000116601,스킨케어,4.6,4,13,2,3,8,9,3,9,15,9,0,0.17,0.69,0.14
131,A000000177776,스킨케어,4.6,4,24,9,13,11,12,11,19,31,21,0,0.38,0.56,0.06
132,A000000147109,스킨케어,4.7,4,14,9,8,13,14,15,25,28,22,2,0.43,0.51,0.07
133,A000000172792,바디케어,4.6,4,0,0,2,1,0,4,2,15,14,0,,,
134,A000000173323,스킨케어,4.7,4,27,30,27,14,21,39,39,51,40,65,0.44,0.54,0.03
135,A000000013225,바디케어,4.7,4,11,1,3,0,5,1,1,42,32,0,,,
136,A000000118803,스킨케어,4.7,4,25,8,0,4,20,5,13,11,6,0,0.41,0.55,0.05
137,A000000012621,스킨케어,4.7,4,10,3,2,5,8,10,27,24,26,0,0.62,0.35,0.03
138,A000000012809,스킨케어,4.8,4,21,13,12,17,26,25,28,36,37,62,0.52,0.44,0.04
139,A000000012755,스킨케어,4.7,4,12,9,1,5,12,21,14,38,23,38,0.70,0.28,0.02
140,A000000012312,바디케어,4.8,4,24,4,2,5,3,9,8,61,38,2,,,
141,A000000173296,스킨케어,4.7,4,18,5,2,2,10,10,16,36,30,6,0.57,0.43,0.01
142,A000000147106,스킨케어,4.6,4,7,3,0,4,5,6,9,13,11,0,0.84,0.16,0.00
143,A000000166303,스킨케어,4.8,4,31,35,49,33,20,33,53,32,35,80,0.08,0.69,0.23
144,A000000161882,스킨케어,5,4,4,1,3,2,3,2,2,3,5,0,0.40,0.52,0.08
145,A000000169026,스킨케어,4.8,4,22,2,1,1,11,2,8,20,19,0,0.25,0.69,0.06
146,A000000173327,스킨케어,4.7,4,23,21,28,18,11,24,26,46,34,60,0.34,0.57,0.09
147,A000000149881,스킨케어,4.8,4,38,10,6,6,8,2,28,29,20,1,0.47,0.45,0.08
148,A000000129773,스킨케어,4.7,4,26,14,28,12,19,30,24,49,32,49,0.45,0.50,0.06
149,A000000169505,선케어,4.9,4,0,1,0,1,0,0,0,1,0,0,0.25,0.55,0.20
150,A000000175267,바디케어,4.8,4,4,4,18,0,4,4,13,63,37,0,,,
151,A000000112173,스킨케어,4.7,4,29,7,0,5,25,7,8,18,15,0,0.40,0.55,0.05
152,A000000002848,스킨케어,4.7,4,5,6,1,35,6,28,10,1,10,14,0.07,0.37,0.56
153,A000000147891,스킨케어,4.7,4,23,6,3,8,13,4,22,23,11,1,0.50,0.46,0.04
154,A000000123594,선케어,4.8,4,7,4,9,11,16,19,12,3,7,1,0.23,0.64,0.13
155,A000000123568,바디케어,4.8,4,18,2,2,3,8,2,7,53,31,36,,,
156,A000000112172,스킨케어,4.7,4,17,12,3,10,10,14,19,35,31,0,0.54,0.43,0.03
157,A000000131012,스킨케어,4.7,4,33,26,33,9,25,4,17,35,24,1,0.31,0.62,0.07
158,A000000136546,선케어,4.7,4,10,15,1,8,21,11,10,2,17,1,0.27,0.63,0.10
159,A000000177838,스킨케어,4.8,4,33,11,12,16,14,11,44,45,33,1,0.38,0.56,0.07
160,A000000177840,바디케어,4.6,4,18,1,0,1,0,0,1,35,12,0,,,
161,A000000002341,바디케어,4.6,4,4,3,7,3,4,5,6,30,23,0,,,
162,A000000118831,바디케어,4.7,4,31,0,1,0,4,4,6,52,29,1,,,
163,A000000177892,스킨케어,4.8,4,16,16,7,13,18,18,25,49,50,60,0.52,0.39,0.09
164,A000000177774,스킨케어,4.6,4,23,9,13,11,12,11,19,30,21,0,0.29,0.57,0.14
165,A000000167164,스킨케어,4.7,4,27,16,7,16,20,24,25,64,50,5,0.47,0.48,0.05
166,A000000174304,스킨케어,4.8,4,32,9,5,12,15,8,63,25,31,0,0.00,1.00,0.00
167,A000000168887,선케어,4.7,4,2,1,0,1,2,2,1,2,1,14,0.38,0.56,0.06
168,A000000137304,선케어,4.5,4,3,8,0,8,10,14,2,0,5,0,0.23,0.61,0.16
169,A000000002345,바디케어,4.8,4,1,0,5,0,2,1,2,24,14,0,,,
170,A000000168790,스킨케어,4.8,4,22,9,1,4,6,4,5,37,45,1,,,
171,A000000168790,바디케어,4.8,4,22,9,1,4,6,4,5,37,45,1,,,
172,A000000162949,스킨케어,4.8,4,38,23,81,18,22,27,79,47,42,3,0.28,0.59,0.13
173,A000000130949,스킨케어,4.7,4,9,5,5,6,5,1,10,23,19,0,0.62,0.38,0.01
174,A000000165272,스킨케어,4.8,4,23,18,9,18,23,18,30,45,48,70,0.41,0.56,0.03
175,A000000173294,바디케어,4.7,4,23,2,1,1,2,7,6,51,9,1,,,
176,A000000163275,스킨케어,4.8,4,13,5,3,6,5,5,7,26,32,2,0.86,0.14,0.00
177,A000000115417,스킨케어,4.7,4,16,19,36,10,13,3,22,10,10,1,0.21,0.62,0.17
178,A000000105886,바디케어,4.8,4,8,0,0,0,2,2,1,31,7,0,,,
179,A000000177890,스킨케어,4.8,4,23,15,7,11,30,12,30,39,33,57,0.60,0.40,0.00
180,A000000110508,바디케어,4.7,4,9,1,1,3,4,9,10,35,32,0,,,
181,A000000012881,스킨케어,4.8,4,16,15,7,13,18,18,24,49,49,59,0.59,0.38,0.03
182,A000000117622,스킨케어,4.3,4,4,1,0,0,1,2,1,5,4,0,0.52,0.44,0.04
183,A000000015389,스킨케어,4.7,4,12,8,6,8,17,10,24,19,18,0,0.25,0.63,0.13
184,A000000012473,스킨케어,4.6,4,19,1,1,2,12,5,14,8,3,0,0.40,0.54,0.07
185,A000000118798,스킨케어,4.6,4,15,9,4,10,17,5,40,14,17,0,0.23,0.67,0.10
186,A000000161043,바디케어,4.8,4,2,0,4,0,3,0,0,38,30,0,,,
187,A000000168577,선케어,4.5,4,8,12,2,10,14,16,16,2,11,1,0.47,0.47,0.06
188,A000000147119,스킨케어,4.7,4,20,29,53,8,23,14,17,21,18,2,0.37,0.52,0.11
189,A000000172436,스킨케어,4.7,4,34,4,6,5,8,11,19,27,19,0,0.43,0.53,0.04
190,A000000165333,스킨케어,4.7,4,40,16,0,6,33,14,24,20,16,0,0.38,0.58,0.04
191,A000000002346,바디케어,4.7,4,2,0,7,0,0,2,1,38,14,0,,,
192,A000000010470,스킨케어,4.7,4,22,24,38,15,11,19,13,18,24,3,0.41,0.52,0.07
193,A000000112179,스킨케어,4.8,4,29,18,4,2,18,3,17,17,20,1,0.48,0.48,0.04
194,A000000174356,스킨케어,4.7,4,33,30,38,39,18,25,58,17,22,14,1.00,0.00,0.00
195,A000000124941,스킨케어,4.7,4,20,14,7,8,22,8,32,23,16,5,0.39,0.55,0.06
196,A000000174313,스킨케어,4.7,4,23,14,7,6,9,3,23,24,23,0,0.60,0.40,0.00
197,A000000145217,스킨케어,4.7,4,31,6,1,1,17,10,9,10,18,0,0.44,0.53,0.03
198,A000000165732,스킨케어,4.7,4,28,9,17,15,13,15,12,23,20,2,,,
199,A000000165055,스킨케어,4.6,4,4,8,8,1,6,4,3,16,11,1,0.61,0.37,0.02
200,A000000112636,스킨케어,4.7,4,21,10,8,4,7,4,23,25,23,0,0.50,0.44,0.06
201,A000000153300,스킨케어,4.8,4,6,3,2,0,7,0,6,7,5,10,0.42,0.58,0.00
202,A000000141540,스킨케어,4.7,4,29,15,14,16,18,23,69,19,25,2,0.37,0.53,0.10
203,A000000137692,스킨케어,4.7,4,19,9,11,4,19,13,21,40,31,3,0.49,0.47,0.04
204,A000000118797,스킨케어,4.6,4,9,8,2,6,9,6,24,23,21,2,0.67,0.31,0.02
205,A000000168260,선케어,4.3,4,4,4,1,3,9,8,6,1,8,0,0.35,0.52,0.13
206,A000000162460,스킨케어,4.7,4,33,30,38,39,18,24,58,17,22,14,0.15,0.54,0.31
207,A000000161805,스킨케어,4.7,4,11,14,13,5,13,8,13,23,13,0,0.45,0.49,0.06
208,A000000177784,스킨케어,4.7,4,12,4,5,15,5,12,23,22,19,1,0.38,0.41,0.21
209,A000000116032,스킨케어,4.8,4,14,7,8,5,17,3,18,24,17,3,0.55,0.42,0.04
210,A000000016809,스킨케어,4.7,4,12,3,3,4,11,9,12,19,12,0,0.64,0.34,0.02
211,A000000145371,바디케어,4.8,4,5,0,2,0,7,7,2,56,29,2,,,
212,A000000177893,스킨케어,4.8,4,28,37,33,16,29,40,46,51,48,74,0.50,0.45,0.05
213,A000000155727,선케어,4.7,4,4,6,9,4,11,5,2,3,7,1,0.38,0.53,0.09
214,A000000161718,스킨케어,4.7,4,28,9,17,15,13,15,12,23,20,2,0.46,0.50,0.04
215,A000000163545,스킨케어,4.9,4,7,9,3,4,15,6,8,28,14,4,0.55,0.39,0.06
216,A000000165808,스킨케어,4.9,4,10,4,6,7,11,7,8,21,14,0,0.38,0.53,0.09
217,A000000121076,선케어,4.7,4,8,10,0,7,19,5,3,0,8,0,0.25,0.64,0.11
218,A000000173332,스킨케어,4.8,4,20,15,9,11,31,12,31,41,34,58,0.50,0.45,0.05
219,A000000162415,스킨케어,4.8,4,19,12,11,12,22,12,49,11,24,2,0.43,0.46,0.11
220,A000000161488,바디케어,4.6,4,20,2,2,1,3,1,5,33,24,1,,,
221,A000000156684,스킨케어,4.7,4,34,28,43,7,16,8,24,18,18,0,0.18,0.59,0.23
222,A000000164210,스킨케어,4.7,4,49,18,6,11,7,9,18,24,28,2,0.46,0.49,0.05
223,A000000127574,스킨케어,4.8,4,37,17,16,18,18,16,68,24,38,5,0.42,0.51,0.07
224,A000000164213,선케어,4.5,4,8,12,2,10,14,16,16,2,11,1,0.48,0.48,0.04
225,A000000171334,선케어,4.7,4,9,4,1,6,9,6,6,3,4,0,0.69,0.26,0.06
226,A000000159372,바디케어,4.8,4,4,2,7,0,3,2,2,54,22,2,,,
227,A000000174991,스킨케어,4.8,4,31,16,13,15,42,31,43,55,44,9,0.50,0.45,0.05
228,A000000145213,스킨케어,4.8,4,30,7,5,7,11,9,11,26,19,0,0.48,0.48,0.04
229,A000000162356,스킨케어,4.7,4,20,29,53,8,23,14,17,21,18,2,0.28,0.63,0.09
230,A000000120323,바디케어,4.8,4,3,0,0,0,2,3,2,32,9,0,,,
231,A000000170690,스킨케어,4.7,4,3,1,0,0,0,0,2,2,2,0,0.47,0.53,0.00
232,A000000160470,스킨케어,4.7,4,26,14,7,7,9,4,25,23,23,0,0.51,0.44,0.05
233,A000000143958,스킨케어,4.7,4,20,14,12,9,13,22,19,59,39,3,0.66,0.31,0.03
234,A000000016686,스킨케어,4.7,4,25,14,4,23,19,27,25,59,47,7,0.50,0.45,0.05
235,A000000009148,선케어,4.6,4,5,12,0,4,17,10,2,1,1,0,0.43,0.54,0.03
236,A000000173703,바디케어,4.8,4,19,0,0,1,6,4,7,58,28,53,,,
237,A000000120127,바디케어,4.8,4,7,2,2,0,13,3,2,58,37,0,,,
238,A000000177773,스킨케어,4.8,4,28,30,44,15,16,23,26,40,30,5,0.41,0.50,0.09
239,A000000117701,스킨케어,4.8,4,24,21,7,13,27,22,32,46,28,4,0.57,0.39,0.04
240,A000000171711,바디케어,4.9,4,12,0,1,0,4,6,4,38,11,0,,,
241,A000000143167,바디케어,4.7,4,22,7,12,5,14,11,12,57,34,3,,,
242,A000000010462,선케어,4.8,4,7,16,1,8,12,16,27,2,11,2,0.53,0.43,0.04
243,A000000010461,선케어,4.6,4,1,6,0,10,7,22,3,0,15,1,0.43,0.51,0.06
244,A000000010471,스킨케어,4.7,4,13,11,3,48,17,24,12,13,14,20,0.07,0.29,0.64
245,A000000165056,스킨케어,4.7,4,13,13,11,16,19,9,13,25,14,4,0.30,0.63,0.08
246,A000000164403,선케어,4.6,4,3,7,0,10,11,2,9,1,18,2,0.34,0.55,0.11
247,A000000105887,바디케어,4.8,4,19,0,2,1,4,4,6,45,13,0,,,
248,A000000160790,스킨케어,4.7,4,27,16,7,16,20,24,25,64,50,5,0.50,0.46,0.04
249,A000000148106,스킨케어,4.6,4,11,7,2,6,11,2,10,15,5,0,0.24,0.65,0.11
250,A000000170637,스킨케어,4.7,4,49,18,6,11,7,9,18,24,28,2,0.50,0.44,0.06
251,A000000177783,선케어,4.6,4,5,15,1,10,15,12,7,0,12,0,0.17,0.67,0.17
252,A000000145332,스킨케어,4.7,4,35,14,5,12,27,17,31,51,36,4,0.48,0.52,0.01
253,A000000149760,선케어,4.6,4,15,14,1,9,20,15,11,2,10,49,0.40,0.52,0.08
254,A000000145131,바디케어,4.8,4,3,2,1,0,3,2,2,10,8,7,,,
255,A000000129009,스킨케어,4.7,4,19,14,8,14,21,9,20,13,17,3,0.21,0.55,0.24
