product_id,review
A000000168339,100
A000000168447,25
A000000168448,56
A000000168577,100
A000000168717,83
A000000168718,62
A000000168790,142
A000000168794,192
A000000168887,40
A000000168889,26
A000000168890,76
A000000169026,99
A000000169067,100
A000000169069,100
A000000169070,100
A000000169103,100
A000000169435,100
A000000169505,21
A000000169512,100
A000000170269,76
A000000170505,99
A000000170509,100
A000000170637,100
A000000170689,100
A000000170690,20
A000000170691,34
A000000170881,100
A000000171334,36
A000000171710,100
A000000171711,71
A000000171715,100
A000000171718,100
A000000171829,100
A000000171830,99
A000000172171,77
A000000172248,70
A000000172256,24
A000000172436,100
A000000172792,52
A000000173038,45
A000000173294,98
A000000173295,96
A000000173296,99
A000000173298,100
A000000173302,99
A000000173322,97
A000000173323,99
A000000173327,100
A000000173332,100
A000000173335,100
A000000173360,86
A000000173363,96
A000000173370,54
A000000173689,100
A000000173702,100
A000000173703,100
A000000173728,100
A000000174016,100
A000000174017,98
A000000174018,100
A000000174019,100
A000000174304,100
A000000174306,100
A000000174311,100
A000000174313,98
A000000174314,100
A000000174316,100
A000000174356,100
A000000174371,100
A000000174373,100
A000000174374,100
A000000174376,100
A000000174991,100
A000000175032,100
A000000175063,99
A000000175090,100
A000000175260,100
A000000175266,100
A000000175267,100
A000000175452,100
A000000177493,100
A000000177773,100
A000000177774,100
A000000177776,100
A000000177777,100
A000000177778,100
A000000177780,100
A000000177782,100
A000000177783,100
A000000177784,40
A000000177838,100
A000000177839,98
A000000177840,83
A000000177890,100
A000000177891,35
A000000177892,96
A000000177893,100
A000000177895,97
